Country,Trade_balance_(1000_US$),Exports_(1000_US$),Imports_(1000_US$)
Afghanistan,197.1,269.83,72.73
Burundi,NA,NA,13.17
Benin,839.66,840.54,0.88
Burkina Faso,863.46,863.57,0.11
Bangladesh,142744.03,219613,76868.98
Bhutan,983.7,983.72,0.01
Central African Republic,NA,NA,251.43
Djibouti,-439.87,1399.17,1839.04
Guinea,1069.49,1420.16,350.67
"Gambia, The",130.42,253.2,122.78
Haiti,-18.88,468,486.88
Cambodia,-14368.31,6124.09,20492.4
Lao PDR,-873.17,1094.46,1967.63
Liberia,-6446.7,584.47,7031.17
Lesotho,NA,NA,659.91
Madagascar,978.47,2321.17,1342.7
Mali,7692.82,7740.14,47.32
Myanmar,25221.02,28968.37,3747.36
Mozambique,4805.84,5383.66,577.82
Mauritania,578.19,598.93,20.74
Malawi,-179.81,21.44,201.25
Niger,-180.35,10.81,191.17
Nepal,4768.75,5615.8,847.05
Rwanda,-200.37,226.14,426.51
Senegal,9156.07,9195.25,39.18
Solomon Islands,22251.74,28138.65,5886.92
Sierra Leone,3110.71,3600.78,490.07
Sao Tome and Principe,NA,NA,0.73
Sudan,43487.29,43489.64,2.35
Chad,157.43,158.03,0.61
Togo,416.85,695.33,278.48
East Timor,3833.03,4099.18,266.15
Tuvalu,2935.49,2941.37,5.88
Tanzania,-430.59,3463.75,3894.34
Uganda,241.47,658.96,417.5
Vanuatu,32469.97,32978.74,508.77
Yemen,16280.35,16326.12,45.77
"Congo, Dem. Rep.",4391.61,4645.27,253.66
Zambia,694.9,815.99,121.1
